Time [s],STM32_RX,STM32_TX,I2C_CLK,I2C_DATA,Channel 4,Channel 5,Channel 6,Channel 7
0.000000000,1,1,1,1,1,1,1,1
2.528959333,1,1,1,0,1,1,1,1
2.528964375,1,1,0,0,1,1,1,1
2.528974042,1,1,1,0,1,1,1,1
2.528978958,1,1,0,0,1,1,1,1
2.528979417,1,1,0,1,1,1,1,1
2.528984042,1,1,1,1,1,1,1,1
2.528988958,1,1,0,1,1,1,1,1
2.528989333,1,1,0,0,1,1,1,1
2.528994042,1,1,1,0,1,1,1,1
2.528998958,1,1,0,0,1,1,1,1
2.528999417,1,1,0,1,1,1,1,1
2.529004042,1,1,1,1,1,1,1,1
2.529008958,1,1,0,1,1,1,1,1
2.529009333,1,1,0,0,1,1,1,1
2.529014042,1,1,1,0,1,1,1,1
2.529018958,1,1,0,0,1,1,1,1
2.529024042,1,1,1,0,1,1,1,1
2.529028958,1,1,0,0,1,1,1,1
2.529029458,1,1,0,1,1,1,1,1
2.529034042,1,1,1,1,1,1,1,1
2.529038958,1,1,0,1,1,1,1,1
2.529039333,1,1,0,0,1,1,1,1
2.529044042,1,1,1,0,1,1,1,1
2.529048958,1,1,0,0,1,1,1,1
2.529054083,1,1,1,0,1,1,1,1
2.529058958,1,1,0,0,1,1,1,1
2.529064500,1,1,0,1,1,1,1,1
2.529069292,1,1,1,1,1,1,1,1
2.529074250,1,1,0,1,1,1,1,1
2.529074583,1,1,0,0,1,1,1,1
2.529079333,1,1,1,0,1,1,1,1
2.529084250,1,1,0,0,1,1,1,1
2.529084708,1,1,0,1,1,1,1,1
2.529089333,1,1,1,1,1,1,1,1
2.529094250,1,1,0,1,1,1,1,1
2.529099333,1,1,1,1,1,1,1,1
2.529104250,1,1,0,1,1,1,1,1
2.529104583,1,1,0,0,1,1,1,1
2.529109333,1,1,1,0,1,1,1,1
2.529114250,1,1,0,0,1,1,1,1
2.529119333,1,1,1,0,1,1,1,1
2.529124250,1,1,0,0,1,1,1,1
2.529124708,1,1,0,1,1,1,1,1
2.529129333,1,1,1,1,1,1,1,1
2.529134250,1,1,0,1,1,1,1,1
2.529134625,1,1,0,0,1,1,1,1
2.529139333,1,1,1,0,1,1,1,1
2.529144250,1,1,0,0,1,1,1,1
2.529149333,1,1,1,0,1,1,1,1
2.529154250,1,1,0,0,1,1,1,1
2.529154625,1,1,0,1,1,1,1,1
2.529163708,1,1,1,1,1,1,1,1
2.529169333,1,1,1,0,1,1,1,1
2.529174375,1,1,0,0,1,1,1,1
2.529180167,1,1,1,0,1,1,1,1
2.529185083,1,1,0,0,1,1,1,1
2.529185542,1,1,0,1,1,1,1,1
2.529190167,1,1,1,1,1,1,1,1
2.529195083,1,1,0,1,1,1,1,1
2.529195458,1,1,0,0,1,1,1,1
2.529200167,1,1,1,0,1,1,1,1
2.529205083,1,1,0,0,1,1,1,1
2.529205542,1,1,0,1,1,1,1,1
2.529210167,1,1,1,1,1,1,1,1
2.529215083,1,1,0,1,1,1,1,1
2.529215458,1,1,0,0,1,1,1,1
2.529220167,1,1,1,0,1,1,1,1
2.529225083,1,1,0,0,1,1,1,1
2.529230167,1,1,1,0,1,1,1,1
2.529235083,1,1,0,0,1,1,1,1
2.529235583,1,1,0,1,1,1,1,1
2.529240167,1,1,1,1,1,1,1,1
2.529245083,1,1,0,1,1,1,1,1
2.529250167,1,1,1,1,1,1,1,1
2.529255083,1,1,0,1,1,1,1,1
2.529255292,1,1,0,0,1,1,1,1
2.529260208,1,1,1,0,1,1,1,1
2.529265083,1,1,0,0,1,1,1,1
2.529274458,1,1,1,0,1,1,1,1
2.529279333,1,1,0,0,1,1,1,1
2.529279708,1,1,0,1,1,1,1,1
2.529284417,1,1,1,1,1,1,1,1
2.529289333,1,1,0,1,1,1,1,1
2.529289542,1,1,0,0,1,1,1,1
2.529294458,1,1,1,0,1,1,1,1
2.529299375,1,1,0,0,1,1,1,1
2.529299708,1,1,0,1,1,1,1,1
2.529304458,1,1,1,1,1,1,1,1
2.529309375,1,1,0,1,1,1,1,1
2.529309583,1,1,0,0,1,1,1,1
2.529314458,1,1,1,0,1,1,1,1
2.529319375,1,1,0,0,1,1,1,1
2.529324458,1,1,1,0,1,1,1,1
2.529329375,1,1,0,0,1,1,1,1
2.529334458,1,1,1,0,1,1,1,1
2.529339375,1,1,0,0,1,1,1,1
2.529344458,1,1,1,0,1,1,1,1
2.529349375,1,1,0,0,1,1,1,1
2.529349750,1,1,0,1,1,1,1,1
2.529354458,1,1,1,1,1,1,1,1
2.529359375,1,1,0,1,1,1,1,1
2.529365375,1,1,0,0,1,1,1,1
2.529370042,1,1,1,0,1,1,1,1
2.529375708,1,1,1,1,1,1,1,1
2.529400708,1,1,1,0,1,1,1,1
2.529405750,1,1,0,0,1,1,1,1
2.529415375,1,1,1,0,1,1,1,1
2.529420250,1,1,0,0,1,1,1,1
2.529420750,1,1,0,1,1,1,1,1
2.529425333,1,1,1,1,1,1,1,1
2.529430250,1,1,0,1,1,1,1,1
2.529430625,1,1,0,0,1,1,1,1
2.529435375,1,1,1,0,1,1,1,1
2.529440292,1,1,0,0,1,1,1,1
2.529440750,1,1,0,1,1,1,1,1
2.529445375,1,1,1,1,1,1,1,1
2.529450292,1,1,0,1,1,1,1,1
2.529450625,1,1,0,0,1,1,1,1
2.529455375,1,1,1,0,1,1,1,1
2.529460292,1,1,0,0,1,1,1,1
2.529465375,1,1,1,0,1,1,1,1
2.529470292,1,1,0,0,1,1,1,1
2.529470750,1,1,0,1,1,1,1,1
2.529475375,1,1,1,1,1,1,1,1
2.529480292,1,1,0,1,1,1,1,1
2.529480667,1,1,0,0,1,1,1,1
2.529485375,1,1,1,0,1,1,1,1
2.529490292,1,1,0,0,1,1,1,1
2.529495375,1,1,1,0,1,1,1,1
2.529500292,1,1,0,0,1,1,1,1
2.529505833,1,1,0,1,1,1,1,1
2.529510625,1,1,1,1,1,1,1,1
2.529515542,1,1,0,1,1,1,1,1
2.529515917,1,1,0,0,1,1,1,1
2.529520625,1,1,1,0,1,1,1,1
2.529525542,1,1,0,0,1,1,1,1
2.529526042,1,1,0,1,1,1,1,1
2.529530625,1,1,1,1,1,1,1,1
2.529535542,1,1,0,1,1,1,1,1
2.529535917,1,1,0,0,1,1,1,1
2.529540625,1,1,1,0,1,1,1,1
2.529545542,1,1,0,0,1,1,1,1
2.529550667,1,1,1,0,1,1,1,1
2.529555542,1,1,0,0,1,1,1,1
2.529560667,1,1,1,0,1,1,1,1
2.529565542,1,1,0,0,1,1,1,1
2.529570667,1,1,1,0,1,1,1,1
2.529575583,1,1,0,0,1,1,1,1
2.529580667,1,1,1,0,1,1,1,1
2.529585583,1,1,0,0,1,1,1,1
2.529590667,1,1,1,0,1,1,1,1
2.529595583,1,1,0,0,1,1,1,1
2.529595917,1,1,0,1,1,1,1,1
2.529605042,1,1,1,1,1,1,1,1
2.529610625,1,1,1,0,1,1,1,1
2.529615708,1,1,0,0,1,1,1,1
2.529621500,1,1,1,0,1,1,1,1
2.529626375,1,1,0,0,1,1,1,1
2.529626875,1,1,0,1,1,1,1,1
2.529631458,1,1,1,1,1,1,1,1
2.529636375,1,1,0,1,1,1,1,1
2.529636750,1,1,0,0,1,1,1,1
2.529641500,1,1,1,0,1,1,1,1
2.529646417,1,1,0,0,1,1,1,1
2.529646875,1,1,0,1,1,1,1,1
2.529651500,1,1,1,1,1,1,1,1
2.529656417,1,1,0,1,1,1,1,1
2.529656750,1,1,0,0,1,1,1,1
2.529661500,1,1,1,0,1,1,1,1
2.529666417,1,1,0,0,1,1,1,1
2.529671500,1,1,1,0,1,1,1,1
2.529676417,1,1,0,0,1,1,1,1
2.529676875,1,1,0,1,1,1,1,1
2.529681500,1,1,1,1,1,1,1,1
2.529686417,1,1,0,1,1,1,1,1
2.529691500,1,1,1,1,1,1,1,1
2.529696417,1,1,0,1,1,1,1,1
2.529696625,1,1,0,0,1,1,1,1
2.529701500,1,1,1,0,1,1,1,1
2.529706417,1,1,0,0,1,1,1,1
2.529715750,1,1,1,0,1,1,1,1
2.529720667,1,1,0,0,1,1,1,1
2.529725750,1,1,1,0,1,1,1,1
2.529730667,1,1,0,0,1,1,1,1
2.529735750,1,1,1,0,1,1,1,1
2.529740667,1,1,0,0,1,1,1,1
2.529745750,1,1,1,0,1,1,1,1
2.529750667,1,1,0,0,1,1,1,1
2.529755792,1,1,1,0,1,1,1,1
2.529760667,1,1,0,0,1,1,1,1
2.529765750,1,1,1,0,1,1,1,1
2.529770667,1,1,0,0,1,1,1,1
2.529771042,1,1,0,1,1,1,1,1
2.529775750,1,1,1,1,1,1,1,1
2.529780667,1,1,0,1,1,1,1,1
2.529785792,1,1,1,1,1,1,1,1
2.529790708,1,1,0,1,1,1,1,1
2.529795792,1,1,1,1,1,1,1,1
2.529800708,1,1,0,1,1,1,1,1
2.529806708,1,1,0,0,1,1,1,1
2.529811333,1,1,1,0,1,1,1,1
2.529817042,1,1,1,1,1,1,1,1
2.529847000,1,1,1,0,1,1,1,1
2.529852083,1,1,0,0,1,1,1,1
2.529861667,1,1,1,0,1,1,1,1
2.529866583,1,1,0,0,1,1,1,1
2.529867042,1,1,0,1,1,1,1,1
2.529871667,1,1,1,1,1,1,1,1
2.529876583,1,1,0,1,1,1,1,1
2.529876958,1,1,0,0,1,1,1,1
2.529881667,1,1,1,0,1,1,1,1
2.529886583,1,1,0,0,1,1,1,1
2.529887083,1,1,0,1,1,1,1,1
2.529891667,1,1,1,1,1,1,1,1
2.529896583,1,1,0,1,1,1,1,1
2.529896958,1,1,0,0,1,1,1,1
2.529901667,1,1,1,0,1,1,1,1
2.529906583,1,1,0,0,1,1,1,1
2.529911708,1,1,1,0,1,1,1,1
2.529916583,1,1,0,0,1,1,1,1
2.529917083,1,1,0,1,1,1,1,1
2.529921667,1,1,1,1,1,1,1,1
2.529926583,1,1,0,1,1,1,1,1
2.529926958,1,1,0,0,1,1,1,1
2.529931708,1,1,1,0,1,1,1,1
2.529936625,1,1,0,0,1,1,1,1
2.529941708,1,1,1,0,1,1,1,1
2.529946625,1,1,0,0,1,1,1,1
2.529952167,1,1,0,1,1,1,1,1
2.529956958,1,1,1,1,1,1,1,1
2.529961875,1,1,0,1,1,1,1,1
